iter	Passed	Remaining
889	8807	20879
890	8815	20866
891	8824	20853
892	8832	20840
893	8841	20827
894	8849	20813
895	8858	20801
896	8867	20788
897	8876	20777
898	8885	20766
899	8895	20755
900	8907	20751
901	8918	20744
902	8927	20731
903	8937	20722
904	8953	20727
905	8963	20717
906	8972	20704
907	8982	20695
908	8991	20683
909	9000	20671
910	9009	20658
911	9017	20646
912	9026	20633
913	9035	20621
914	9049	20619
915	9059	20611
916	9069	20602
917	9086	20608
918	9097	20599
919	9107	20591
920	9117	20580
921	9126	20568
922	9134	20555
923	9143	20542
924	9153	20533
925	9163	20522
926	9171	20509
927	9181	20500
928	9190	20487
929	9200	20477
930	9209	20466
931	9218	20454
932	9228	20445
933	9237	20434
934	9258	20447
935	9267	20436
936	9277	20426
937	9286	20414
938	9294	20401
939	9304	20389
940	9312	20377
941	9322	20367
942	9332	20356
943	9341	20344
944	9350	20333
945	9358	20320
946	9367	20308
947	9376	20295
948	9384	20282
949	9393	20269
950	9403	20259
951	9416	20257
952	9426	20247
953	9436	20238
954	9445	20226
955	9454	20214
956	9464	20205
957	9473	20192
958	9482	20180
959	9490	20167
960	9498	20154
961	9508	20143
962	9517	20132
963	9526	20120
964	9535	20107
965	9549	20106
966	9558	20095
967	9567	20084
968	9581	20081
969	9591	20073
970	9602	20065
971	9614	20060
972	9625	20051
973	9636	20044
974	9648	20039
975	9659	20031
976	9671	20025
977	9684	20022
978	9696	20016
979	9706	20006
980	9717	19999
981	9729	19993
982	9740	19986
983	9750	19976
984	9760	19967
985	9768	19952
986	9779	19946
987	9790	19936
988	9799	19926
989	9809	19916
990	9819	19907
991	9831	19899
992	9840	19889
993	9850	19878
994	9860	19868
995	9868	19856
996	9882	19853
997	9891	19843
998	9900	19831
999	9910	19821
1000	9919	19809
1001	9929	19800
1002	9940	19791
1003	9950	19781
1004	9960	19772
1005	9971	19764
1006	9980	19753
1007	9991	19745
1008	10003	19740
1009	10013	19730
1010	10024	19721
1011	10038	19719
1012	10049	19711
1013	10059	19701
1014	10072	19699
1015	10084	19692
1016	10093	19681
1017	10110	19684
1018	10120	19674
1019	10129	19663
1020	10142	19658
1021	10153	19650
1022	10162	19639
1023	10176	19636
1024	10188	19631
1025	10199	19622
1026	10211	19616
1027	10222	19609
1028	10233	19602
1029	10245	19594
1030	10255	19585
1031	10265	19576
1032	10277	19569
1033	10287	19560
1034	10299	19554
1035	10313	19551
1036	10324	19543
1037	10334	19534
1038	10347	19530
1039	10360	19525
1040	10372	19519
1041	10383	19511
1042	10394	19503
1043	10405	19495
1044	10422	19497
1045	10432	19489
1046	10442	19479
1047	10456	19476
1048	10468	19469
1049	10479	19461
1050	10491	19454
1051	10502	19447
1052	10513	19440
1053	10534	19450
1054	10546	19444
1055	10557	19434
1056	10576	19442
1057	10585	19430
1058	10596	19422
1059	10609	19417
1060	10618	19406
1061	10628	19395
1062	10639	19386
1063	10648	19376
1064	10658	19364
1065	10668	19356
1066	10682	19351
1067	10693	19343
1068	10706	19338
1069	10716	19329
1070	10725	19318
1071	10737	19310
1072	10746	19299
1073	10754	19286
1074	10764	19276
1075	10774	19265
1076	10783	19253
1077	10791	19240
1078	10801	19230
1079	10810	19218
1080	10820	19208
1081	10829	19197
1082	10839	19187
1083	10849	19176
1084	10858	19165
1085	10868	19155
1086	10879	19146
1087	10886	19131
1088	10894	19117
1089	10905	19110
1090	10916	19100
1091	10924	19088
1092	10936	19081
1093	10946	19071
1094	10956	19061
1095	10965	19049
1096	10974	19038
1097	10984	19027
1098	10994	19017
1099	11004	19006
1100	11014	18998
1101	11024	18987
1102	11032	18975
1103	11042	18964
1104	11052	18953
1105	11061	18941
1106	11070	18930
1107	11079	18918
1108	11088	18907
1109	11096	18894
1110	11106	18883
1111	11117	18876
1112	11126	18864
1113	11135	18852
1114	11146	18843
1115	11156	18833
1116	11165	18822
1117	11174	18810
1118	11185	18801
1119	11194	18790
1120	11202	18778
1121	11212	18767
1122	11220	18754
1123	11229	18742
1124	11238	18731
1125	11247	18718
1126	11256	18708
1127	11266	18697
1128	11275	18686
1129	11284	18674
1130	11292	18661
1131	11301	18649
1132	11310	18638
1133	11320	18627
1134	11329	18616
1135	11347	18618
1136	11355	18606
1137	11365	18596
1138	11374	18585
1139	11385	18575
1140	11394	18564
1141	11403	18553
1142	11412	18541
1143	11420	18529
1144	11429	18517
1145	11438	18505
1146	11447	18492
1147	11455	18480
1148	11463	18467
1149	11472	18455
1150	11481	18443
1151	11489	18431
1152	11500	18422
1153	11509	18411
1154	11518	18400
1155	11528	18389
1156	11537	18377
1157	11547	18367
1158	11556	18356
1159	11566	18346
1160	11575	18335
1161	11584	18324
1162	11593	18312
1163	11602	18300
1164	11611	18289
1165	11620	18277
1166	11629	18266
1167	11638	18254
1168	11646	18242
1169	11655	18230
1170	11664	18219
1171	11674	18208
1172	11684	18198
1173	11693	18188
1174	11703	18177
1175	11712	18166
1176	11731	18169
1177	11741	18161
1178	11751	18149
1179	11759	18137
1180	11768	18126
1181	11777	18114
1182	11786	18102
1183	11795	18090
1184	11804	18079
1185	11812	18067
1186	11821	18055
1187	11829	18043
1188	11837	18030
1189	11847	18020
1190	11856	18009
1191	11876	18013
1192	11894	18016
1193	11911	18016
1194	11929	18019
1195	11943	18015
1196	11952	18003
1197	11960	17991
1198	11969	17978
1199	11978	17967
1200	11983	17950
1201	11990	17935
1202	11999	17924
1203	12009	17914
1204	12022	17908
1205	12030	17896
1206	12039	17884
1207	12048	17872
1208	12056	17860
1209	12065	17848
1210	12073	17836
1211	12081	17823
1212	12090	17811
1213	12098	17799
1214	12107	17787
