iter	MAPE	RMSE	R2	MAE
1726	0.002845990575	0.06026528871	0.9955419878	0.03790441115
1727	0.002845927488	0.06026441823	0.9955421166	0.03790350421
1728	0.002845883282	0.06026301418	0.9955423243	0.03790291772
1729	0.002845800664	0.06026095858	0.9955426284	0.03790179008
1730	0.002845743147	0.0602601042	0.9955427548	0.03790098713
1731	0.002845745204	0.06025953472	0.9955428391	0.03790102718
1732	0.002845724013	0.06025920366	0.995542888	0.03790070471
1733	0.002845725561	0.06025878687	0.9955429497	0.03790072675
1734	0.00284562447	0.0602574123	0.995543153	0.0378993514
1735	0.002845615278	0.06025642759	0.9955432987	0.03789925455
1736	0.002845566869	0.06025577809	0.9955433948	0.03789855751
1737	0.002845535832	0.06025496538	0.995543515	0.03789811457
1738	0.002845522536	0.06025406934	0.9955436475	0.0378979307
1739	0.002845447515	0.06025334994	0.9955437539	0.0378968664
1740	0.002845408185	0.06025256322	0.9955438703	0.03789629218
1741	0.002845272107	0.06025105124	0.9955440939	0.03789440435
1742	0.002845201645	0.06025003962	0.9955442436	0.03789347252
1743	0.002845110852	0.060248209	0.9955445143	0.0378922311
1744	0.002845052682	0.06024746233	0.9955446248	0.03789146823
1745	0.002845026049	0.06024693621	0.9955447026	0.03789114075
1746	0.002844926555	0.06024568724	0.9955448873	0.03788974159
1747	0.002844904876	0.06024510885	0.9955449729	0.03788943592
1748	0.002844794745	0.06024374603	0.9955451744	0.03788791934
1749	0.002844695952	0.0602418257	0.9955454584	0.03788663811
1750	0.002844638711	0.06024087319	0.9955455993	0.03788582756
1751	0.002844568747	0.06023984987	0.9955457506	0.03788483195
1752	0.002844471376	0.06023859176	0.9955459367	0.03788359502
1753	0.002844438587	0.06023784637	0.9955460469	0.03788322773
1754	0.002844407774	0.06023723243	0.9955461377	0.03788277783
1755	0.002844318183	0.06023489457	0.9955464834	0.03788159231
1756	0.002844335705	0.06023438028	0.9955465594	0.03788185282
1757	0.002844306672	0.06023390066	0.9955466304	0.03788142296
1758	0.002844218614	0.06023283441	0.995546788	0.03788023915
1759	0.002844182324	0.06023181737	0.9955469384	0.03787975554
1760	0.002844130933	0.0602312541	0.9955470217	0.03787912285
1761	0.002844081227	0.06023033191	0.995547158	0.03787842917
1762	0.002844060594	0.06022987414	0.9955472257	0.03787811874
1763	0.002843928505	0.06022722746	0.9955476171	0.03787644532
1764	0.002843880247	0.06022569934	0.995547843	0.03787583865
1765	0.002843818259	0.06022454613	0.9955480135	0.03787501989
1766	0.002843772906	0.06022347092	0.9955481725	0.03787449617
1767	0.002843713045	0.06022252884	0.9955483117	0.0378736377
1768	0.002843673574	0.06022195796	0.9955483961	0.03787305644
1769	0.002843617375	0.06022070279	0.9955485817	0.0378723944
1770	0.002843591389	0.06021976698	0.99554872	0.03787201262
1771	0.002843588988	0.06021930485	0.9955487884	0.03787197482
1772	0.002843592521	0.06021887807	0.9955488515	0.03787202764
1773	0.002843532437	0.06021756741	0.9955490452	0.03787125748
1774	0.002843455717	0.06021667271	0.9955491775	0.03787021512
1775	0.002843376533	0.06021484458	0.9955494477	0.03786915098
1776	0.002843366884	0.06021364861	0.9955496245	0.03786903791
1777	0.002843339569	0.06021261435	0.9955497774	0.03786868544
1778	0.002843294038	0.06021170953	0.9955499111	0.03786805591
1779	0.002843246542	0.06021041816	0.995550102	0.0378674181
1780	0.002843211275	0.06020975067	0.9955502007	0.03786693659
1781	0.002843155111	0.06020861592	0.9955503684	0.03786615006
1782	0.002843025682	0.06020669893	0.9955506517	0.0378643617
1783	0.002842937987	0.06020570835	0.9955507982	0.0378631112
1784	0.002842908477	0.0602044599	0.9955509827	0.03786269427
1785	0.002842828646	0.06020361976	0.9955511068	0.03786173317
1786	0.002842797078	0.06020270619	0.9955512419	0.03786127897
1787	0.002842770716	0.06020192495	0.9955513573	0.03786088799
1788	0.002842681696	0.06020019368	0.9955516132	0.03785968239
1789	0.002842601292	0.06019868843	0.9955518356	0.03785866634
1790	0.002842520813	0.06019633556	0.9955521833	0.0378576243
1791	0.002842456166	0.06019503867	0.995552375	0.03785677912
1792	0.002842415416	0.06019467212	0.9955524292	0.03785619472
1793	0.002842316509	0.06019305866	0.9955526676	0.03785484671
1794	0.002842253541	0.0601923915	0.9955527662	0.03785391794
1795	0.002842227256	0.06019184234	0.9955528473	0.03785352587
1796	0.002842135766	0.06019070487	0.9955530154	0.03785230522
1797	0.002842037839	0.06018855793	0.9955533326	0.03785104731
1798	0.00284195649	0.0601865033	0.9955536362	0.03784999426
1799	0.002841877911	0.06018416276	0.995553982	0.03784895282
1800	0.002841848682	0.06018309274	0.9955541401	0.03784859646
1801	0.002841835504	0.06018293158	0.9955541639	0.03784838888
1802	0.002841821139	0.06018264234	0.9955542067	0.03784817713
1803	0.002841720206	0.0601809227	0.9955544607	0.03784686696
1804	0.00284161307	0.06017873752	0.9955547835	0.03784553304
1805	0.002841566722	0.06017748029	0.9955549693	0.03784492287
1806	0.002841499496	0.06017579105	0.9955552188	0.03784405746
1807	0.002841476329	0.06017560349	0.9955552465	0.0378436989
1808	0.002841410775	0.06017421037	0.9955554523	0.03784278082
1809	0.002841343207	0.06017306172	0.995555622	0.0378418499
1810	0.002841284912	0.06017174562	0.9955558164	0.03784110443
1811	0.002841249261	0.0601710509	0.995555919	0.03784059556
1812	0.002841209472	0.06017049859	0.9955560006	0.03784003621
1813	0.002841200049	0.06016977453	0.9955561076	0.03783989164
1814	0.002841118338	0.06016834291	0.9955563191	0.03783881351
1815	0.002841080269	0.06016732699	0.9955564691	0.03783829482
1816	0.002841047573	0.06016531446	0.9955567664	0.03783785988
1817	0.00284097041	0.06016288816	0.9955571247	0.03783686408
1818	0.002840933141	0.06016057554	0.9955574663	0.03783637564
1819	0.002840915092	0.060160342	0.9955575008	0.03783609808
1820	0.002840823579	0.06015921528	0.9955576672	0.03783486458
1821	0.002840729953	0.06015762599	0.9955579019	0.03783363564
1822	0.002840711586	0.0601566497	0.9955580461	0.03783340261
1823	0.0028406597	0.06015582225	0.9955581683	0.03783277699
1824	0.002840602779	0.06015502383	0.9955582862	0.03783202555
1825	0.002840475961	0.06015385214	0.9955584592	0.0378302566
1826	0.002840449841	0.06015325088	0.995558548	0.03782986726
1827	0.002840441084	0.0601505979	0.9955589397	0.03782974031
1828	0.002840402018	0.06015003468	0.9955590229	0.03782917462
1829	0.002840289066	0.06014873954	0.9955592142	0.03782763407
1830	0.002840258903	0.06014809454	0.9955593094	0.03782718628
1831	0.002840242921	0.06014718067	0.9955594443	0.03782699463
1832	0.002840151966	0.06014572659	0.995559659	0.03782571742
1833	0.002840106711	0.06014488804	0.9955597829	0.03782509336
1834	0.002840089124	0.0601447387	0.9955598049	0.03782482659
1835	0.002839996501	0.060143067	0.9955600517	0.037823539
1836	0.002839916384	0.06014136593	0.9955603029	0.03782250855
1837	0.00283986775	0.06013986232	0.9955605249	0.03782189342
1838	0.002839806695	0.0601383321	0.9955607508	0.03782108036
1839	0.002839795775	0.06013814274	0.9955607787	0.03782091117
1840	0.002839738425	0.06013739721	0.9955608888	0.03782014598
1841	0.002839736695	0.0601355387	0.9955611632	0.03782012218
1842	0.002839700444	0.06013495083	0.99556125	0.03781958651
1843	0.002839679941	0.06013452659	0.9955613126	0.03781931187
1844	0.002839655921	0.06013324986	0.9955615011	0.03781898144
1845	0.002839590494	0.06013238054	0.9955616294	0.03781806179
1846	0.002839566387	0.06013208512	0.995561673	0.03781769684
1847	0.002839546414	0.06013076201	0.9955618683	0.03781742766
1848	0.002839486059	0.06012931066	0.9955620826	0.03781663335
1849	0.002839442251	0.06012809376	0.9955622622	0.03781608602
1850	0.002839400853	0.06012737436	0.9955623684	0.03781549785
1851	0.00283938444	0.06012723516	0.9955623889	0.03781523969
1852	0.002839333026	0.06012627891	0.9955625301	0.03781453017
1853	0.002839269974	0.06012515212	0.9955626964	0.03781363917
